lat	long	pm	aod
39.8	-104.9	9.2482585	0.132
39.8	-105.0	7.877551	0.132
39.8	-86.1	10.921505	0.102
39.8	-84.2	10.345263	0.114
39.8	-84.7	9.682051	0.114
39.8	-75.8	10.103333	0.107
39.9	-107.6	1.798039	0.071
39.9	-75.1	10.564368	0.107
39.9	-81.3	6.74902	0.062
39.9	-77.3	8.575439	0.078
39.9	-75.2	10.495	0.107
39.9	-80.7	11.460345	0.06
40.0	-85.5	9.647368	0.12
40.0	-76.3	11.584746	0.088
40.0	-75.1	10.02381	0.107
40.0	-75.0	9.283146	0.095
40.0	-76.7	10.483051	0.088
40.1	-88.4	7.954902	0.09
40.1	-83.0	10.872131	0.111
40.2	-104.8	8.357895	0.118
40.2	-76.8	11.996552	0.088
40.3	-105.5	1.860417	0.103
40.3	-80.6	15.764286	0.078
40.3	-79.9	12.603279	0.075
40.3	-78.9	11.419672	0.048
40.3	-79.5	10.301639	0.075
40.3	-111.7	11.496667	0.105
40.4	-80.6	22.225	0.078
40.4	-76.0	9.603333	0.09
40.4	-80.4	9.256897	0.078
40.5	-121.6	1.564	0.03
40.5	-106.7	1.594	0.073
40.5	-74.4	9.371732	0.099
40.5	-80.0	10.930303	0.075
40.6	-74.2	11.266667	0.099
40.6	-75.3	10.062295	0.09
40.7	-92.0	6.380392	0.082
40.7	-74.2	9.863265	0.099
40.7	-74.0	10.0538755	0.139
40.7	-73.8	8.980165	0.139
40.7	-111.9	10.84	0.105
40.8	-122.8	1.472	0.028
40.8	-74.7	7.627551	0.099
40.8	-81.4	11.088136	0.086
40.8	-77.9	8.47069	0.059
40.9	-111.9	10.015	0.105
41.0	-95.0	6.828	0.083
41.1	-80.7	11.633333	0.093
41.1	-81.5	13.771698	0.114
41.2	-96.0	9.262	0.117
41.2	-104.8	3.961062	0.193
41.3	-72.9	9.182105	0.08
41.3	-70.8	4.693878	0.099
41.4	-75.6	8.816667	0.061
41.5	-90.6	10.222124	0.108
41.5	-81.7	13.47396475	0.114
41.5	-81.7	14.4233685	0.114
41.5	-82.1	10.243103	0.123
41.6	-124.1	2.544	0.103
41.6	-87.3	11.272881	0.125
41.6	-93.6	8.320339	0.084
41.6	-83.6	10.68	0.127
41.7	-121.5	1.45098	0.056
41.7	-86.0	10.135593	0.107
41.8	-73.3	3.503922	0.065
41.8	-87.7	10.58	0.125
41.8	-88.2	9.208475	0.1
41.8	-83.5	9.863636	0.127
41.8	-102.4	2.960784	0.148
41.8	-71.4	7.155833	0.081
41.9	-87.7	10.763333	0.125
41.9	-83.3	8.976	0.127
41.9	-100.3	3.646	0.127
41.9	-115.4	1.752941	0.143
42.0	-91.7	9.578333	0.105
42.0	-70.0	4.822222	0.147
42.0	-83.9	8.693103	0.127
42.1	-87.8	8.975581	0.13
42.1	-77.2	6.617476	0.045
42.1	-123.7	2.181818	0.049
42.1	-80.0	8.493333	0.081
42.2	-72.6	7.630508	0.047
42.2	-83.2	9.5725	0.107
42.3	-72.3	3.584314	0.047
42.3	-71.1	7.963429	0.06
42.3	-83.1	11.6525425	0.107
42.3	-83.1	11.155932	0.107
42.6	-73.8	8.391379	0.051
42.8	-109.6	1.622917	0.142
42.9	-71.9	3.5579575	0.06
42.9	-71.4	4.331915	0.06
42.9	-78.8	10.418644	0.063
42.9	-122.1	1.019608	0.042
43.0	-85.7	9.293617	0.058
43.0	-82.5	10.134426	0.153
43.0	-72.9	2.91	0.047
43.0	-88.2	9.289474	0.101
43.0	-109.8	1.725	0.142
43.1	-77.5	7.581481	0.092
43.1	-87.9	9.7575	0.126
43.5	-113.6	1.808511	0.135
43.5	-96.7	8.056731	0.111
43.5	-88.6	8.376271	0.109
43.6	-116.3	11.983621	0.176
43.6	-103.5	2.234043	0.161
43.7	-96.2	7.091667	0.111
43.7	-101.9	2.377551	0.157
43.8	-70.1	3.775	0.079
43.9	-91.4	5.429412	0.087
44.0	-92.5	8.457377	0.076
44.1	-70.7	3.009804	0.04
44.2	-114.9	1.460465	0.138
44.2	-122.0	1.146	0.076
44.3	-84.9	6.195	0.074
44.3	-71.2	2.556863	0.042
44.3	-107.0	1.578378	0.156
44.4	-68.3	2.909804	0.066
44.4	-73.9	4.886667	0.052
44.5	-72.9	3.15	0.05
44.5	-73.2	6.381915	0.052
44.5	-88.0	8.031148	0.134
44.6	-110.4	1.454348	0.073
44.7	-105.3	2.462791	0.142
44.7	-109.4	1.65	0.192
44.9	-68.6	3.983333	0.066
45.0	-93.3	8.853097	0.082
45.1	-67.3	2.581818	0.032
45.1	-93.2	8.594915	0.078
45.1	-116.8	3.204082	0.079
45.2	-118.5	2.454902	0.081
45.2	-90.6	6.74	0.074
45.3	-121.8	1.3	0.049
45.5	-122.6	7.887129	0.028
45.6	-106.6	2.052	0.127
45.6	-122.6	11.01125	0.028
45.6	-122.6	14.7	0.028
45.7	-121.0	3.792157	0.09
45.9	-114.0	1.217391	0.108
46.0	-112.5	9.668657	0.167
46.3	-86.0	2.554167	0.078
46.6	-121.4	0.83	0.039
46.6	-120.5	9.285965	0.095
46.7	-68.0	3.390196	0.022
46.8	-111.7	1.259184	0.152
46.8	-122.1	1.794118	0.017
46.9	-112.0	3.816	0.152
46.9	-103.4	3.147826	0.134
46.9	-96.9	8.290756	0.081
47.1	-113.2	1.356	0.077
47.2	-122.5	9.443636	0.029
47.4	-121.4	1.266	0.031
47.6	-108.7	2.089583	0.18
47.6	-122.3	5.628196	0.029
47.8	-114.3	1.477551	0.101
47.9	-89.2	2.286275	0.104
47.9	-91.5	2.669767	0.076
48.0	-115.7	1.454902	0.049
48.0	-123.0	1.695294	0.029
48.1	-122.2	9.815517	0.043
48.3	-105.1	3.323256	0.122
48.3	-124.6	1.6	0.097
48.4	-92.8	2.633333	0.088
48.4	-119.9	1.026	0.076
48.5	-114.0	2.298039	0.181
48.5	-104.5	3.674468	0.121
48.6	-102.4	4.50625	0.136
48.7	-121.1	1.012766	0.043
55.3	-160.5	2.537778	0.111
60.0	-152.7	1.410204	0.11
62.3	-150.3	1.307653	0.11
63.7	-149.0	1.372549	0.109
64.8	-147.7	16.115351	0.109
64.8	-147.7	31.271345	0.105
66.9	-151.5	1.765909	0.101
