"","easting","northing","pm25"
"124",-115352.044328801,-143243.269698569,8.855932
"125",-325194.085927823,-18813.9214372388,5.302
"126",117348.735223035,13891.0051111874,10.665306
"127",1155627.71942581,24768.8642991531,9.457627
"128",1129238.57886558,-3803.82599036459,8.031667
"129",869511.017634531,-160341.531498495,6.317647
"130",1001403.98117033,-40558.5935865042,9.354098
"131",899082.440113891,-34568.0581318217,10.959322
"132",211619.440802912,-714573.217058992,10.228302
"133",465175.433170253,-934880.726655077,10.474766
"134",604447.019896128,-965668.784475536,5.895349
"135",2113831.43505365,1181640.04257762,3.390196
"136",1994257.25822378,845324.126604676,3.009804
"137",2053934.01033776,830723.064695998,3.775
"138",2174308.98460009,930429.062058506,2.909804
"139",2126154.76678484,981879.12244433,3.983333
"140",2224004.10472242,1033688.01888226,2.581818
"141",1662049.19451471,213097.216545347,10.581319
"142",1440618.55786478,212929.244449449,5.154902
"143",1634084.79465371,178061.832780293,8.659821
"144",2114985.28261125,633681.091571122,4.822222
"145",2074150.53602845,547318.314412126,4.693878
"146",1907512.96033764,601248.507524088,7.630508
"147",1922125.88328806,617070.08431822,3.584314
"148",2020365.11372109,647441.602889272,7.963429
"149",837953.395499653,489955.352341307,9.293617
"150",515260.056336479,1010019.54066359,2.286275
"151",991596.886659635,398258.662540729,8.693103
"152",882985.583269938,643662.238101313,6.195
"153",1033924.26062326,378029.222017973,9.863636
"154",1041820.93440956,397033.854164704,8.976
"155",1097608.3774142,520677.049943001,10.134426
"156",775037.803400838,852434.639778174,2.554167
"157",1048333.36381463,432162.628108796,9.5725
"158",1055449.49307992,441491.906663972,12.149153
"159",1051955.36015218,441431.677377342,11.155932
"160",219667.94759454,685104.15040661,8.594915
"161",216303.692888422,664542.003389399,8.853097
"162",338834.308357463,1002579.62839401,2.669767
"163",284143.75463821,560504.771652213,8.457377
"164",-15407.8624289996,523756.14799393,7.091667
"165",236667.247801586,1049996.43326762,2.633333
"166",368066.931084748,557624.475889967,5.429412
"167",548016.967080187,-722673.955607818,10.99375
"168",172411.708051802,-143556.629054902,6.611765
"169",139253.799208455,34887.8758847176,9.0525
"170",486040.319848743,-46277.5613948257,9.106612
"171",487559.441255124,-107103.598202418,9.35812
"172",518980.820544905,-208644.379016333,6.846
"173",274042.171948572,-260218.261198299,6.080392
"174",501895.482925007,-22165.542171057,11.363025
"175",-959811.436556822,1020512.9608816,2.089583
"176",-1333283.74119554,1188619.39699811,2.298039
"177",-1369575.47183375,1112348.7906951,1.477551
"178",-1218223.33887884,979165.806805378,3.816
"179",-1197898.16680153,972844.193707221,1.259184
"180",-1300575.87740693,1024992.82888301,1.356
"181",-1391392.5360035,899740.106876998,1.217391
"182",-679901.275965021,1068122.57361142,3.323256
"183",-822181.208916941,786129.655665236,2.052
"184",-1468776.08026578,1153908.47629805,1.454902
"185",-631397.490191626,1083442.45804051,3.674468
"186",-1273934.31297415,893427.838332736,9.668657
"187",2240.4307143328,249554.515948483,9.262
"188",-532239.830193139,325554.706493313,2.960784
"189",-358437.03254103,329308.359916716,3.646
"190",-1697616.20806386,-139011.188542605,7.716842
"191",-1593185.59461788,491511.528468229,1.752941
