Latitude	Longitude	pm25
30.108633	-89.761683	5.895349
46.69634	-68.032614	3.390196
44.107524	-70.729165	3.009804
43.832458	-70.063815	3.775
44.37705	-68.2609	2.909804
44.94798	-68.64788	3.983333
45.125837	-67.265408	2.581818
39.310833	-76.474444	10.581319
39.70595	-79.012	5.154902
39.055277	-76.878333	8.659821
41.975804	-70.023598	4.822222
41.330469	-70.785225	4.693878
42.19438	-72.555112	7.630508
42.298493	-72.334079	3.584314
42.3295	-71.0826	7.963429
42.984173	-85.671339	9.293617
47.9167	-89.150075	2.286275
41.995568	-83.946559	8.693103
44.310555	-84.891865	6.195
41.763889	-83.471944	9.863636
41.923582	-83.34573	8.976
42.953336	-82.456229	10.134426
46.288877	-85.950227	2.554167
42.22862	-83.2082	9.5725
42.302786	-83.10653	12.149153
42.306674	-83.148754	11.155932
45.13768	-93.207615	8.594915
44.95366	-93.25821	8.853097
47.948622	-91.495574	2.669767
43.996908	-92.450366	8.457377
43.71579	-96.191613	7.091667
48.413333	-92.830556	2.633333
43.937299	-91.405348	5.429412
32.329111	-90.182722	10.99375
37.69	-94.035	6.611765
39.30309	-94.376623	9.0525
38.448633	-90.39854	9.106612
37.90084	-90.42388	9.35812
36.97	-90.14	6.846
36.613879	-92.92228	6.080392
38.656498	-90.198646	11.363025
47.582225	-108.720383	2.089583
48.510165	-113.996536	2.298039
47.773283	-114.269975	1.477551
46.8505	-111.987164	3.816
46.826103	-111.711573	1.259184
47.122091	-113.155326	1.356
45.859686	-114.001032	1.217391
48.30795	-105.102866	3.323256
45.648333	-106.556667	2.052
47.954771	-115.671925	1.454902
48.487054	-104.476346	3.674468
46.002602	-112.501247	9.668657
41.247486	-95.973142	9.262
41.762681	-102.434108	2.960784
41.888789	-100.339141	3.646
36.141895	-115.078725	7.716842
41.892499	-115.427015	1.752941
39.525083	-119.807717	9.663025
39.005278	-114.215833	1.944186
44.308167	-71.217694	2.556863
42.86175	-71.878389	2.784
42.862536	-71.380172	4.331915
39.464872	-74.448736	5.781633
39.934446	-75.125291	10.564368
40.720989	-74.192892	9.863265
40.472825	-74.422403	9.371732
40.787628	-74.676301	7.627551
40.64144	-74.208365	11.266667
35.1343	-106.5852	5.753535
33.220502	-108.235719	2.677083
33.459914	-104.404711	6.792157
33.468809	-105.535444	4.152941
35.804167	-106.298056	2.945098
36.013945	-106.845299	2.511628
33.869593	-106.852584	4.418182
36.58544	-105.452563	2.104444
42.64225	-73.75464	8.391379
42.876907	-78.809526	10.418644
44.39308	-73.8589	4.886667
43.14618	-77.54817	7.581481
40.71436	-73.99518	11.127586
40.73614	-73.82153	8.980165
42.09142	-77.20978	6.617476
35.972222	-81.933056	4.851064
35.6075	-82.583333	8.756667
35.728889	-81.365556	10.108772
35.814444	-80.2625	9.807018
36.110556	-80.226667	9.280357
35.379167	-82.7925	3.426
35.45109	-76.207165	5.717391
35.2401	-80.785683	9.422414
35.551868	-80.395039	9.965
35.856111	-78.574167	9.349123
46.8943	-103.37853	3.147826
48.64193	-102.4018	4.50625
46.933754	-96.85535	8.290756
41.477011	-81.682383	12.524561
41.492117	-81.678449	14.4233685
40.0877	-82.959773	10.872131
39.12886	-84.50404	10.5875
40.36644	-80.61558	22.225
40.32207	-80.6063	15.764286
38.508114	-82.659301	11.166071
41.463071	-82.114261	10.243103
41.620633	-83.64225	10.68
41.095938	-80.658516	11.633333
39.760659	-84.187678	11.008475
39.940029	-81.3387	6.74902
39.83562	-84.72049	9.682051
40.786878	-81.394186	11.088136
41.087956	-81.541611	13.771698
35.750735	-94.669697	7.432
34.732404	-98.713351	5.31
36.085509	-99.935376	5.006122
35.614131	-97.475083	7.933333
36.204902	-95.976537	9.3875
45.28845	-121.782775	1.3
42.104278	-123.681083	2.181818
42.91	-122.139722	1.019608
44.19982	-122.044547	1.146
45.496641	-122.602877	7.887129
45.224748	-118.513962	2.454902
45.079864	-116.844808	3.204082
39.92002	-77.30968	8.575439
40.46542	-79.960757	10.930303
40.323768	-79.868062	12.603279
40.38335	-75.9686	9.603333
40.309722	-78.915	11.419672
40.811389	-77.877028	8.47069
39.834461	-75.768242	10.103333
40.246992	-76.846988	11.996552
42.14175	-80.038611	8.493333
41.442778	-75.623056	8.816667
40.046667	-76.283333	11.584746
40.628056	-75.341111	10.062295
39.991389	-75.080833	10.02381
39.922867	-75.186921	10.495
40.035985	-75.002405	9.283146
40.445278	-80.420833	9.256897
40.304694	-79.505667	10.301639
39.965278	-76.699444	10.483051
41.841573	-71.36077	7.155833
32.941023	-79.657187	6.964
34.615367	-80.198787	8.415254
34.843895	-82.414585	10.231148
34.093959	-80.962304	9.0875
43.5578	-103.4839	2.234043
43.74561	-101.941218	2.377551
43.54792	-96.700769	8.056731
35.63149	-83.943512	5.044681
36.176326	-86.738902	9.914754
35.050928	-85.292975	9.932727
36.019186	-83.87381	9.868852
35.115968	-87.469954	8.815254
35.151194	-90.041559	12.4
35.151699	-89.850249	9.578261
29.3025	-103.16782	5.252941
26.06961	-97.162206	11.072
31.833333	-104.809722	7.717778
32.774262	-96.797686	10.577273
32.819952	-96.860082	9.798947
32.482082	-97.026922	8.817241
31.765698	-106.45522	10.072072
29.901037	-95.326125	10.716949
29.670025	-95.128508	9.501543
32.668987	-94.167457	9.038333
27.811814	-97.465701	9.106897
30.483168	-97.872301	6.933333
40.902967	-111.884467	10.015
37.618383	-112.174368	2.022
40.736389	-111.872222	10.84
38.458611	-109.821111	2.439216
40.341389	-111.713611	11.496667
37.1983	-113.1506	2.530612
38.302177	-111.293349	2.278431
44.52839	-72.86884	3.15
44.480278	-73.214444	6.381915
42.9561	-72.9098	2.91
37.55652	-77.40027	9.378947
38.521986	-78.435833	4.616667
37.62668	-79.51257	6.027451
48.29786	-124.62491	1.6
48.006295	-122.973953	1.695294
45.648333	-122.586944	7.3225
45.64987	-122.5901	14.7
47.568236	-122.308628	5.628196
47.399815	-121.427096	1.266
45.666204	-121.000708	3.792157
46.624347	-121.386869	0.83
48.387531	-119.928671	1.026
47.1864	-122.4517	9.443636
46.758333	-122.124444	1.794118
48.054315	-122.171529	9.815517
48.73142	-121.065815	1.012766
46.598056	-120.499167	9.285965
38.448833	-81.684717	8.430435
38.366183	-81.693717	9.742105
39.915961	-80.733858	11.460345
39.105336	-79.425851	4.605882
44.50729	-87.99344	8.031148
43.466111	-88.621111	8.376271
43.060975	-87.913504	9.7575
45.2066	-90.5972	6.74
43.020075	-88.21507	9.289474
44.6522	-105.2903	2.462791
44.33344	-106.957181	1.578378
41.182227	-104.778334	3.961062
44.744723	-109.382366	1.65
42.974831	-109.758655	1.725
42.846483	-109.639733	1.622917
44.565217	-110.400996	1.454348
18.336389	-64.796389	5.063265
