"","V1","V2","V3"
"200",25.5,-70.5,0.114
"201",25.5,-69.5,0.11
"202",25.5,-68.5,0.113
"203",25.5,-67.5,0.113
"204",25.5,-66.5,0.116
"205",25.5,-65.5,0.113
"206",25.5,-64.5,0.112
"207",25.5,-63.5,0.11
"208",25.5,-62.5,0.108
"209",25.5,-61.5,0.109
"210",25.5,-60.5,0.121
"211",26.5,-129.5,0.097
"212",26.5,-128.5,0.105
"213",26.5,-127.5,0.1
"214",26.5,-126.5,0.099
"215",26.5,-125.5,0.101
"216",26.5,-124.5,0.107
"217",26.5,-123.5,0.107
"218",26.5,-122.5,0.113
"219",26.5,-121.5,0.126
"220",26.5,-120.5,0.102
"221",26.5,-119.5,0.104
"222",26.5,-118.5,0.108
"223",26.5,-117.5,0.106
"224",26.5,-116.5,0.105
"225",26.5,-115.5,0.123
"226",26.5,-114.5,0.102
"227",26.5,-113.5,0.09
"228",26.5,-112.5,0.137
"229",26.5,-111.5,0.158
"230",26.5,-110.5,0.096
"231",26.5,-109.5,0.1
"232",26.5,-108.5,0.028
"233",26.5,-107.5,0.025
"234",26.5,-106.5,0.049
"235",26.5,-105.5,0.077
"236",26.5,-104.5,0.221
"237",26.5,-103.5,0.331
"238",26.5,-102.5,0.287
"239",26.5,-101.5,0.181
"240",26.5,-100.5,0.136
"241",26.5,-99.5,0.107
"242",26.5,-98.5,0.128
"243",26.5,-97.5,0.157
"244",26.5,-96.5,0.186
"245",26.5,-95.5,0.176
"246",26.5,-94.5,0.182
"247",26.5,-93.5,0.171
"248",26.5,-92.5,0.17
"249",26.5,-91.5,0.167
"250",26.5,-90.5,0.161
"251",26.5,-89.5,0.154
"252",26.5,-88.5,0.152
"253",26.5,-87.5,0.157
"254",26.5,-86.5,0.153
"255",26.5,-85.5,0.151
"256",26.5,-84.5,0.146
"257",26.5,-83.5,0.134
"258",26.5,-82.5,0.122
"259",26.5,-81.5,0.078
"260",26.5,-80.5,0.125
"261",26.5,-79.5,0.132
"262",26.5,-78.5,0.135
"263",26.5,-77.5,0.129
"264",26.5,-76.5,0.128
"265",26.5,-75.5,0.118
"266",26.5,-74.5,0.118
"267",26.5,-73.5,0.117
"268",26.5,-72.5,0.115
"269",26.5,-71.5,0.12
"270",26.5,-70.5,0.115
"271",26.5,-69.5,0.11
"272",26.5,-68.5,0.113
"273",26.5,-67.5,0.11
"274",26.5,-66.5,0.115
"275",26.5,-65.5,0.11
"276",26.5,-64.5,0.11
"277",26.5,-63.5,0.109
"278",26.5,-62.5,0.109
"279",26.5,-61.5,0.105
"280",26.5,-60.5,0.105
"281",27.5,-129.5,0.105
"282",27.5,-128.5,0.106
"283",27.5,-127.5,0.103
"284",27.5,-126.5,0.109
"285",27.5,-125.5,0.108
"286",27.5,-124.5,0.106
"287",27.5,-123.5,0.102
"288",27.5,-122.5,0.11
"289",27.5,-121.5,0.117
"290",27.5,-120.5,0.093
"291",27.5,-119.5,0.102
"292",27.5,-118.5,0.113
"293",27.5,-117.5,0.124
"294",27.5,-116.5,0.118
"295",27.5,-115.5,0.114
"296",27.5,-114.5,0.11
"297",27.5,-113.5,0.131
"298",27.5,-112.5,0.172
"299",27.5,-111.5,0.093
"300",27.5,-110.5,0.099
"301",27.5,-109.5,0.047
"302",27.5,-108.5,0.025
"303",27.5,-107.5,0.044
"304",27.5,-106.5,0.076
"305",27.5,-105.5,0.157
"306",27.5,-104.5,0.235
"307",27.5,-103.5,0.351
"308",27.5,-102.5,0.241
"309",27.5,-101.5,0.163
"310",27.5,-100.5,0.171
"311",27.5,-99.5,0.131
"312",27.5,-98.5,0.098
"313",27.5,-97.5,0.122
"314",27.5,-96.5,0.17
"315",27.5,-95.5,0.169
"316",27.5,-94.5,0.166
"317",27.5,-93.5,0.162
"318",27.5,-92.5,0.164
"319",27.5,-91.5,0.157
"320",27.5,-90.5,0.162
"321",27.5,-89.5,0.154
"322",27.5,-88.5,0.151
"323",27.5,-87.5,0.153
"324",27.5,-86.5,0.148
"325",27.5,-85.5,0.148
"326",27.5,-84.5,0.142
"327",27.5,-83.5,0.137
"328",27.5,-82.5,0.082
"329",27.5,-81.5,0.047
"330",27.5,-80.5,0.087
"331",27.5,-79.5,0.134
"332",27.5,-78.5,0.132
"333",27.5,-77.5,0.134
"334",27.5,-76.5,0.133
"335",27.5,-75.5,0.128
"336",27.5,-74.5,0.122
"337",27.5,-73.5,0.121
"338",27.5,-72.5,0.114
"339",27.5,-71.5,0.11
"340",27.5,-70.5,0.112
"341",27.5,-69.5,0.109
"342",27.5,-68.5,0.105
"343",27.5,-67.5,0.107
"344",27.5,-66.5,0.113
"345",27.5,-65.5,0.111
"346",27.5,-64.5,0.11
"347",27.5,-63.5,0.11
"348",27.5,-62.5,0.109
"349",27.5,-61.5,0.109
"350",27.5,-60.5,0.105
"351",28.5,-129.5,0.101
"352",28.5,-128.5,0.1
"353",28.5,-127.5,0.1
"354",28.5,-126.5,0.107
"355",28.5,-125.5,0.1
"356",28.5,-124.5,0.106
"357",28.5,-123.5,0.111
"358",28.5,-122.5,0.114
"359",28.5,-121.5,0.113
"360",28.5,-120.5,0.096
"361",28.5,-119.5,0.105
"362",28.5,-118.5,0.114
"363",28.5,-117.5,0.114
"364",28.5,-116.5,0.114
"365",28.5,-115.5,0.11
"366",28.5,-114.5,0.104
"367",28.5,-113.5,0.16
"368",28.5,-112.5,0.119
"369",28.5,-111.5,0.12
"370",28.5,-110.5,0.07
"371",28.5,-109.5,0.015
"372",28.5,-108.5,0.021
"373",28.5,-107.5,0.035
"374",28.5,-106.5,0.082
"375",28.5,-105.5,0.188
"376",28.5,-104.5,0.161
"377",28.5,-103.5,0.275
"378",28.5,-102.5,0.205
"379",28.5,-101.5,0.112
"380",28.5,-100.5,0.135
"381",28.5,-99.5,0.082
"382",28.5,-98.5,0.091
"383",28.5,-97.5,0.057
"384",28.5,-96.5,0.102
"385",28.5,-95.5,0.149
"386",28.5,-94.5,0.156
"387",28.5,-93.5,0.156
"388",28.5,-92.5,0.143
"389",28.5,-91.5,0.178
"390",28.5,-90.5,0.158
"391",28.5,-89.5,0.15
"392",28.5,-88.5,0.146
"393",28.5,-87.5,0.147
"394",28.5,-86.5,0.142
"395",28.5,-85.5,0.142
"396",28.5,-84.5,0.137
"397",28.5,-83.5,0.132
"398",28.5,-82.5,0.078
"399",28.5,-81.5,0.055
"400",28.5,-80.5,0.106
"401",28.5,-79.5,0.133
"402",28.5,-78.5,0.132
"403",28.5,-77.5,0.138
"404",28.5,-76.5,0.138
"405",28.5,-75.5,0.127
"406",28.5,-74.5,0.123
"407",28.5,-73.5,0.121
"408",28.5,-72.5,0.114
"409",28.5,-71.5,0.113
"410",28.5,-70.5,0.115
"411",28.5,-69.5,0.109
"412",28.5,-68.5,0.103
"413",28.5,-67.5,0.107
"414",28.5,-66.5,0.112
"415",28.5,-65.5,0.115
"416",28.5,-64.5,0.109
"417",28.5,-63.5,0.107
"418",28.5,-62.5,0.105
"419",28.5,-61.5,0.108
"420",28.5,-60.5,0.108
"421",29.5,-129.5,0.097
"422",29.5,-128.5,0.103
"423",29.5,-127.5,0.102
"424",29.5,-126.5,0.103
"425",29.5,-125.5,0.098
"426",29.5,-124.5,0.099
"427",29.5,-123.5,0.115
"428",29.5,-122.5,0.11
"429",29.5,-121.5,0.096
"430",29.5,-120.5,0.098
"431",29.5,-119.5,0.104
"432",29.5,-118.5,0.105
"433",29.5,-117.5,0.109
"434",29.5,-116.5,0.107
"435",29.5,-115.5,0.089
"436",29.5,-114.5,0.104
"437",29.5,-113.5,0.088
"438",29.5,-112.5,0.138
"439",29.5,-111.5,0.144
"440",29.5,-110.5,0.073
"441",29.5,-109.5,0.049
"442",29.5,-108.5,0.027
"443",29.5,-107.5,0.055
"444",29.5,-106.5,0.09
"445",29.5,-105.5,0.285
"446",29.5,-104.5,0.32
"447",29.5,-103.5,0.282
"448",29.5,-102.5,0.249
"449",29.5,-101.5,0.246
"450",29.5,-100.5,0.121
"451",29.5,-99.5,0.052
"452",29.5,-98.5,0.065
"453",29.5,-97.5,0.058
"454",29.5,-96.5,0.05
"455",29.5,-95.5,0.079
"456",29.5,-94.5,0.119
"457",29.5,-93.5,0.141
"458",29.5,-92.5,0.132
"459",29.5,-91.5,0.16
"460",29.5,-90.5,0.111
"461",29.5,-89.5,0.166
"462",29.5,-88.5,0.143
"463",29.5,-87.5,0.15
"464",29.5,-86.5,0.145
"465",29.5,-85.5,0.135
"466",29.5,-84.5,0.126
"467",29.5,-83.5,0.097
"468",29.5,-82.5,0.055
"469",29.5,-81.5,0.067
"470",29.5,-80.5,0.127
"471",29.5,-79.5,0.132
"472",29.5,-78.5,0.137
"473",29.5,-77.5,0.135
"474",29.5,-76.5,0.14
"475",29.5,-75.5,0.129
"476",29.5,-74.5,0.129
"477",29.5,-73.5,0.125
"478",29.5,-72.5,0.121
"479",29.5,-71.5,0.116
"480",29.5,-70.5,0.109
"481",29.5,-69.5,0.11
"482",29.5,-68.5,0.104
"483",29.5,-67.5,0.103
"484",29.5,-66.5,0.107
"485",29.5,-65.5,0.111
"486",29.5,-64.5,0.107
"487",29.5,-63.5,0.112
"488",29.5,-62.5,0.115
"489",29.5,-61.5,0.114
"490",29.5,-60.5,0.111
"491",30.5,-129.5,0.102
"492",30.5,-128.5,0.102
"493",30.5,-127.5,0.105
"494",30.5,-126.5,0.101
"495",30.5,-125.5,0.101
"496",30.5,-124.5,0.108
"497",30.5,-123.5,0.114
"498",30.5,-122.5,0.115
"499",30.5,-121.5,0.101
"500",30.5,-120.5,0.107
"501",30.5,-119.5,0.107
"502",30.5,-118.5,0.107
"503",30.5,-117.5,0.121
"504",30.5,-116.5,0.096
"505",30.5,-115.5,0.069
"506",30.5,-114.5,0.125
"507",30.5,-113.5,0.09
"508",30.5,-112.5,0.294
"509",30.5,-111.5,0.177
"510",30.5,-110.5,0.086
"511",30.5,-109.5,0.104
"512",30.5,-108.5,0.076
"513",30.5,-107.5,0.156
"514",30.5,-106.5,0.191
"515",30.5,-105.5,0.308
"516",30.5,-104.5,0.215
"517",30.5,-103.5,0.143
"518",30.5,-102.5,0.265
"519",30.5,-101.5,0.222
"520",30.5,-100.5,0.137
"521",30.5,-99.5,0.073
"522",30.5,-98.5,0.048
